,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
172520,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-14
172521,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-14
172522,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-14
172527,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-14
172595,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-15
172596,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-15
172597,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-15
172602,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-15
172670,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-16
172671,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-16
172672,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-16
172677,Australia,South Australia,-34.9285,138.6007,2.0,0.0,0.0,2020-02-16
172745,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-17
172747,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-17
172748,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-17
172752,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-17
172820,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-18
172822,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-18
172823,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-18
172827,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-18
172895,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-19
172897,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-19
172898,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-19
172902,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-19
172971,Australia,Queensland,-27.4698,153.0251,5.0,0.0,0.0,2020-02-20
172974,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-20
172975,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-20
172979,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-20
173051,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-21
173053,Australia,From Diamond Princess,35.4437,139.638,4.0,0.0,0.0,2020-02-21
173054,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-21
173055,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-21
173058,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-21
173134,Australia,From Diamond Princess,35.4437,139.638,7.0,0.0,0.0,2020-02-22
173136,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-22
173138,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-22
173139,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-22
173142,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-22
173218,Australia,From Diamond Princess,35.4437,139.638,7.0,0.0,0.0,2020-02-23
173220,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-23
173222,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-23
173223,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-23
173226,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-23
173303,Australia,From Diamond Princess,35.4437,139.638,7.0,0.0,0.0,2020-02-24
173305,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-24
173306,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-24
173307,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-24
173311,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-24
173395,Australia,From Diamond Princess,35.4437,139.638,7.0,0.0,0.0,2020-02-25
173398,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-25
173399,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-25
173400,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-25
173404,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-25
173490,Australia,From Diamond Princess,35.4437,139.638,7.0,0.0,0.0,2020-02-26
173492,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-26
173494,Australia,New South Wales,-33.8688,151.2093,4.0,4.0,0.0,2020-02-26
173495,Australia,Victoria,-37.8136,144.9631,4.0,4.0,0.0,2020-02-26
173501,Australia,South Australia,-34.9285,138.6007,2.0,2.0,0.0,2020-02-26
173591,Australia,From Diamond Princess,35.4437,139.638,8.0,0.0,0.0,2020-02-27
173596,Australia,Queensland,-27.4698,153.0251,5.0,1.0,0.0,2020-02-27
